epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,864.91,2.0994,3.34123,2.12951,0.72831,0.0912,0.0611,0.0175,2.34471,6.40361,2.67637,0.000475433,0.000475433,0.000475433
2,1716.91,1.90603,2.64963,2.01946,0.53954,0.20237,0.16071,0.06322,2.25671,2.73765,2.5455,0.000920358,0.000920358,0.000920358
3,2568.17,1.83885,2.44529,1.96954,0.21626,0.24529,0.18962,0.0768,2.20173,2.42503,2.54004,0.00133384,0.00133384,0.00133384
4,3380.3,1.76779,2.27621,1.91635,0.59054,0.21974,0.21087,0.10009,1.94402,2.19041,2.36168,0.00128753,0.00128753,0.00128753
5,4184.59,1.71922,2.21743,1.88321,0.61439,0.25876,0.30986,0.13691,1.93483,2.11833,2.35354,0.00124037,0.00124037,0.00124037
6,5013.5,1.66066,2.1097,1.83151,0.57475,0.16213,0.21666,0.09295,2.03383,2.61958,2.51836,0.00119322,0.00119322,0.00119322
7,5820.17,1.61853,2.00021,1.80695,0.65375,0.27193,0.29958,0.14547,1.80743,2.01185,2.23545,0.00114606,0.00114606,0.00114606
8,6636.81,1.57524,1.95148,1.76763,0.65633,0.30347,0.30201,0.14007,1.72805,1.98171,2.15865,0.0010989,0.0010989,0.0010989
9,7443.34,1.55646,1.8939,1.759,0.6611,0.33506,0.42744,0.18081,1.70871,1.83106,2.27239,0.00105174,0.00105174,0.00105174
10,8259.12,1.5099,1.81433,1.71705,0.66926,0.33329,0.48107,0.21014,1.57644,1.70464,2.08011,0.00100459,0.00100459,0.00100459
11,9080.54,1.47741,1.791,1.70241,0.41207,0.42966,0.37453,0.1797,1.6566,2.3135,2.21927,0.00095743,0.00095743,0.00095743
12,9905.92,1.46184,1.74532,1.6862,0.29162,0.52152,0.34828,0.19471,1.60292,2.4858,2.18263,0.000910273,0.000910273,0.000910273
13,10735.9,1.43035,1.71029,1.66269,0.39635,0.52334,0.40165,0.19218,1.61137,1.76508,2.16499,0.000863116,0.000863116,0.000863116
14,11563.3,1.40654,1.65846,1.64547,0.36925,0.52226,0.40792,0.22755,1.60082,1.47154,2.22287,0.000815959,0.000815959,0.000815959
15,12387.6,1.39354,1.64235,1.63974,0.34178,0.57751,0.41619,0.21538,1.53986,1.70974,2.09367,0.000768802,0.000768802,0.000768802
16,13201.1,1.35967,1.60427,1.61401,0.47614,0.60659,0.51729,0.28419,1.55429,1.86328,2.10814,0.000721645,0.000721645,0.000721645
17,14008.9,1.33948,1.57782,1.59935,0.57117,0.4839,0.48826,0.25699,1.48649,1.74996,2.08585,0.000674488,0.000674488,0.000674488
18,14812.2,1.32685,1.54527,1.5823,0.4003,0.64722,0.4865,0.26288,1.47615,1.43425,2.10292,0.000627331,0.000627331,0.000627331
19,15621.2,1.3012,1.54265,1.56671,0.58194,0.51987,0.51105,0.28478,1.44779,1.51485,1.98432,0.000580174,0.000580174,0.000580174
20,16421.4,1.27956,1.50334,1.55946,0.64917,0.39971,0.50717,0.26451,1.48182,1.56254,2.07841,0.000533017,0.000533017,0.000533017
21,17217.4,1.12655,1.14989,1.51654,0.42916,0.62866,0.49828,0.29499,1.44095,1.39394,2.09878,0.00048586,0.00048586,0.00048586
22,18024.9,1.0894,1.07485,1.47518,0.67982,0.4866,0.55022,0.30761,1.3783,1.31013,2.06463,0.000438703,0.000438703,0.000438703
23,18824.3,1.05244,1.03817,1.45371,0.719,0.49919,0.58705,0.31904,1.40259,1.44665,2.09907,0.000391546,0.000391546,0.000391546
24,19623,1.01597,1.00925,1.42598,0.71319,0.56128,0.61176,0.37396,1.31159,1.37337,2.02629,0.000344389,0.000344389,0.000344389
25,20426.4,0.99912,0.98578,1.40338,0.47245,0.66985,0.54923,0.32944,1.33998,1.36789,2.11329,0.000297232,0.000297232,0.000297232
26,21216.3,0.96427,0.95647,1.37423,0.69765,0.59293,0.60386,0.37309,1.29797,1.44407,2.03759,0.000250075,0.000250075,0.000250075
27,22041.5,0.94047,0.9257,1.35027,0.59219,0.60653,0.60473,0.38282,1.29671,1.40212,2.09964,0.000202918,0.000202918,0.000202918
28,22860.3,0.93172,0.91711,1.34295,0.62999,0.55278,0.61336,0.37914,1.3081,1.3481,2.12083,0.000155761,0.000155761,0.000155761
29,23698,0.90956,0.88645,1.32721,0.72562,0.58828,0.66546,0.427,1.31408,1.36149,2.14153,0.000108604,0.000108604,0.000108604
30,24531.2,0.89846,0.88751,1.31758,0.68669,0.57431,0.64388,0.41014,1.29142,1.40684,2.12699,6.1447e-05,6.1447e-05,6.1447e-05
